longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-117.9,33.97,23.0,7353.0,1255.0,4014.0,1124.0,5.4155,316600.0,<1H OCEAN
-120.77,38.38,15.0,4221.0,816.0,1737.0,743.0,2.3125,91100.0,INLAND
-116.93,32.8,19.0,1867.0,538.0,1219.0,468.0,2.0685,161800.0,<1H OCEAN
-118.13,33.81,34.0,1903.0,343.0,928.0,349.0,5.395,239600.0,<1H OCEAN
-117.4,33.95,46.0,2189.0,423.0,866.0,389.0,3.1384,125500.0,INLAND
-122.07,37.96,34.0,1692.0,290.0,836.0,289.0,5.0172,196200.0,NEAR BAY
-123.71,39.88,42.0,1518.0,383.0,656.0,303.0,1.4952,77200.0,NEAR OCEAN
-122.72,38.58,4.0,7042.0,1100.0,2936.0,1043.0,5.0555,197400.0,<1H OCEAN
-117.77,33.72,9.0,2153.0,316.0,954.0,324.0,7.8139,342900.0,<1H OCEAN
-117.93,34.07,34.0,1409.0,305.0,819.0,273.0,3.3977,170800.0,<1H OCEAN
-118.41,34.07,52.0,1202.0,142.0,408.0,138.0,15.0001,500001.0,<1H OCEAN
-120.07,36.97,28.0,1563.0,403.0,1564.0,408.0,1.5662,56400.0,INLAND
-119.27,36.05,29.0,1016.0,174.0,481.0,140.0,2.2917,37500.0,INLAND
-120.82,37.05,15.0,1385.0,288.0,775.0,255.0,1.933,50400.0,INLAND
-121.43,38.54,42.0,3321.0,688.0,1346.0,658.0,2.4618,72100.0,INLAND
-120.44,34.96,30.0,1685.0,315.0,1290.0,368.0,3.4722,164000.0,<1H OCEAN
-120.35,37.95,13.0,2104.0,407.0,960.0,401.0,2.4,88100.0,INLAND
-118.17,33.95,23.0,1991.0,584.0,1380.0,535.0,1.9107,142000.0,<1H OCEAN
-121.57,39.5,31.0,2023.0,469.0,1073.0,436.0,1.5714,57600.0,INLAND
-117.82,33.88,18.0,1982.0,300.0,1027.0,324.0,7.0526,231700.0,<1H OCEAN
-121.9,37.44,4.0,1646.0,408.0,853.0,410.0,5.0821,255100.0,<1H OCEAN
-121.45,38.54,38.0,1865.0,384.0,1052.0,354.0,1.7891,76800.0,INLAND
-119.81,36.83,19.0,6789.0,1200.0,2325.0,1109.0,4.049,84200.0,INLAND
-118.36,33.8,34.0,2629.0,369.0,966.0,375.0,10.1241,500001.0,NEAR OCEAN
-117.68,33.59,8.0,2327.0,263.0,899.0,236.0,14.9009,500001.0,<1H OCEAN
-118.04,33.88,17.0,4807.0,838.0,3059.0,853.0,5.7619,342600.0,<1H OCEAN
-118.43,34.01,41.0,1527.0,279.0,746.0,285.0,6.4232,354300.0,<1H OCEAN
-122.71,38.5,15.0,5645.0,830.0,2324.0,769.0,6.6104,312500.0,<1H OCEAN
-121.83,36.6,30.0,2748.0,502.0,1491.0,535.0,4.3472,245300.0,<1H OCEAN
-120.82,35.31,16.0,3924.0,699.0,1325.0,638.0,2.5172,55000.0,NEAR OCEAN
-120.06,36.95,24.0,646.0,134.0,454.0,149.0,2.125,34400.0,INLAND
-122.14,37.68,31.0,3184.0,716.0,1561.0,628.0,2.7955,157300.0,NEAR BAY
-116.46,33.78,25.0,1137.0,414.0,604.0,240.0,1.3801,140000.0,INLAND
-121.09,38.19,23.0,762.0,140.0,358.0,141.0,2.4545,112500.0,INLAND
-121.32,38.57,15.0,3369.0,499.0,1733.0,470.0,5.31,137000.0,INLAND
-120.99,37.66,30.0,1718.0,395.0,914.0,400.0,1.933,90500.0,INLAND
-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494,139400.0,NEAR BAY
-122.47,37.78,52.0,2169.0,522.0,1220.0,505.0,3.1989,443300.0,NEAR BAY
-117.91,33.61,40.0,2790.0,531.0,952.0,424.0,4.8,482900.0,<1H OCEAN
-121.53,39.06,20.0,561.0,109.0,308.0,114.0,3.3021,77400.0,INLAND
-117.04,32.83,8.0,2205.0,348.0,777.0,341.0,6.0266,255100.0,<1H OCEAN
-118.13,34.11,52.0,2568.0,345.0,1102.0,345.0,9.1373,500001.0,<1H OCEAN
-122.32,38.06,4.0,7999.0,1611.0,3596.0,1396.0,5.0969,204200.0,NEAR BAY
-121.73,37.68,17.0,20354.0,3493.0,8768.0,3293.0,5.4496,264200.0,INLAND
-118.98,35.4,36.0,1864.0,331.0,1052.0,325.0,3.4205,94200.0,INLAND
-121.9,37.25,28.0,2714.0,502.0,1389.0,490.0,5.7385,263900.0,<1H OCEAN
-121.3,38.69,13.0,2135.0,429.0,779.0,432.0,3.6995,122200.0,INLAND
-115.64,32.75,19.0,377.0,69.0,198.0,55.0,1.625,95800.0,INLAND
-117.89,33.76,34.0,1050.0,210.0,723.0,201.0,4.8,200000.0,<1H OCEAN
-118.36,33.92,46.0,1231.0,231.0,793.0,256.0,4.1023,246300.0,<1H OCEAN
-117.06,32.58,11.0,2879.0,679.0,2098.0,673.0,3.5125,139900.0,NEAR OCEAN
-115.49,32.67,25.0,2322.0,573.0,2185.0,602.0,1.375,58600.0,INLAND
-117.31,34.09,34.0,1336.0,345.0,1009.0,311.0,1.608,72800.0,INLAND
-121.03,39.21,28.0,2843.0,535.0,1310.0,525.0,3.2337,156800.0,INLAND
-117.05,32.72,35.0,1777.0,369.0,1158.0,353.0,3.4107,133900.0,NEAR OCEAN
-117.95,33.92,18.0,2825.0,660.0,1590.0,643.0,3.6106,166300.0,<1H OCEAN
-119.01,35.31,19.0,7092.0,1517.0,4101.0,1436.0,2.1006,92600.0,INLAND
-119.17,34.27,18.0,8010.0,1539.0,3982.0,1483.0,4.0905,206800.0,NEAR OCEAN
-118.07,34.14,42.0,3200.0,685.0,1668.0,628.0,3.375,251200.0,INLAND
-122.23,38.1,46.0,4143.0,895.0,2240.0,847.0,2.4201,216700.0,NEAR BAY
-117.75,34.06,52.0,62.0,9.0,44.0,16.0,0.4999,162500.0,INLAND
-118.27,33.81,42.0,865.0,208.0,811.0,218.0,3.8621,186900.0,<1H OCEAN
-121.32,38.0,21.0,1795.0,482.0,1114.0,472.0,2.0091,179800.0,INLAND
-118.99,36.06,19.0,2153.0,458.0,1317.0,386.0,1.7564,53300.0,INLAND
-122.37,40.54,28.0,2213.0,390.0,1096.0,378.0,3.6923,85400.0,INLAND
-120.39,37.98,52.0,1056.0,274.0,584.0,255.0,2.1513,84400.0,INLAND
-118.33,34.11,48.0,1601.0,464.0,784.0,461.0,3.0642,355300.0,<1H OCEAN
-118.08,33.89,37.0,1152.0,259.0,981.0,225.0,3.2857,155000.0,<1H OCEAN
-117.25,33.36,6.0,3725.0,960.0,2833.0,915.0,2.3214,185600.0,<1H OCEAN
-119.15,36.29,18.0,1435.0,,657.0,254.0,2.4281,104700.0,INLAND
-117.63,33.94,36.0,447.0,95.0,2886.0,85.0,4.2578,500001.0,INLAND
-118.55,34.19,18.0,5862.0,,3161.0,1280.0,3.1106,218300.0,<1H OCEAN
-117.89,33.71,16.0,1591.0,225.0,926.0,239.0,6.2452,258500.0,<1H OCEAN
-117.69,33.66,5.0,4246.0,689.0,1933.0,722.0,6.9501,279000.0,<1H OCEAN
-118.35,33.88,25.0,1459.0,362.0,1150.0,354.0,3.35,233900.0,<1H OCEAN
-118.09,34.16,45.0,2199.0,358.0,942.0,353.0,5.0393,279600.0,INLAND
-121.05,39.11,7.0,2767.0,423.0,1143.0,382.0,3.6333,175000.0,INLAND
-118.21,34.1,40.0,1684.0,316.0,795.0,330.0,5.2723,292900.0,<1H OCEAN
-119.04,36.07,17.0,2623.0,659.0,1912.0,618.0,1.5893,56900.0,INLAND
-117.3,34.15,33.0,1607.0,282.0,608.0,260.0,4.3438,159400.0,INLAND
-117.75,34.06,44.0,477.0,135.0,502.0,117.0,2.0156,94600.0,INLAND
-114.61,33.62,16.0,1187.0,261.0,1115.0,242.0,2.1759,62000.0,INLAND
-117.61,34.13,21.0,8416.0,1386.0,4308.0,1341.0,4.4611,165600.0,INLAND
-118.11,34.05,23.0,3436.0,565.0,1729.0,529.0,5.9941,271900.0,<1H OCEAN
-118.95,35.26,24.0,1341.0,214.0,667.0,184.0,4.0,118100.0,INLAND
-118.35,33.9,25.0,3309.0,902.0,2299.0,837.0,3.0417,212500.0,<1H OCEAN
-122.89,38.93,20.0,1214.0,247.0,504.0,223.0,2.7188,153100.0,<1H OCEAN
-121.89,36.6,40.0,626.0,164.0,337.0,150.0,2.7917,291300.0,<1H OCEAN
-118.31,34.26,34.0,1797.0,363.0,948.0,363.0,4.1339,189600.0,<1H OCEAN
-122.01,37.25,31.0,1574.0,193.0,551.0,191.0,10.2311,500001.0,<1H OCEAN
-118.37,34.04,43.0,888.0,170.0,514.0,161.0,3.1827,278500.0,<1H OCEAN
-117.19,32.76,52.0,1294.0,175.0,434.0,180.0,5.7914,240900.0,NEAR OCEAN
-119.71,36.8,17.0,2056.0,366.0,1259.0,367.0,3.9338,92300.0,INLAND
-117.28,34.68,28.0,1932.0,421.0,1156.0,404.0,1.8958,77700.0,INLAND
-120.84,35.32,15.0,2419.0,538.0,1279.0,522.0,3.4762,207800.0,NEAR OCEAN
-118.13,34.02,43.0,396.0,91.0,261.0,73.0,2.9044,147400.0,<1H OCEAN
-117.02,33.6,7.0,1972.0,352.0,964.0,317.0,3.244,173400.0,INLAND
-116.97,32.76,33.0,3071.0,466.0,1348.0,513.0,6.1768,265600.0,<1H OCEAN
-117.71,33.61,26.0,3046.0,726.0,888.0,663.0,2.6848,72500.0,<1H OCEAN
-121.58,39.79,19.0,2636.0,523.0,1184.0,465.0,2.7863,102900.0,INLAND
-118.24,34.15,19.0,4852.0,1465.0,3171.0,1332.0,2.5924,162900.0,<1H OCEAN
-122.68,38.44,29.0,2796.0,588.0,1346.0,562.0,2.9107,197500.0,<1H OCEAN
-118.14,33.84,43.0,2107.0,439.0,876.0,429.0,3.2024,208400.0,<1H OCEAN
-117.88,34.1,32.0,3357.0,621.0,1696.0,604.0,4.2685,175900.0,<1H OCEAN
-117.67,33.44,25.0,2994.0,519.0,903.0,410.0,6.6852,266000.0,<1H OCEAN
-120.47,34.64,16.0,1912.0,406.0,1009.0,417.0,3.4063,134600.0,NEAR OCEAN
-122.22,37.47,23.0,7740.0,1943.0,4124.0,1743.0,3.3268,272800.0,NEAR OCEAN
-122.25,37.86,52.0,1709.0,318.0,719.0,295.0,5.0463,351800.0,NEAR BAY
-118.11,34.06,30.0,1547.0,436.0,1700.0,410.0,2.5488,152300.0,<1H OCEAN
-122.2,39.52,39.0,2551.0,482.0,1181.0,437.0,2.0625,63700.0,INLAND
-119.9,36.58,20.0,1935.0,363.0,1319.0,359.0,2.4814,56000.0,INLAND
-118.26,33.79,42.0,1162.0,264.0,1044.0,241.0,3.5488,171100.0,<1H OCEAN
-122.51,37.53,17.0,1574.0,262.0,672.0,241.0,7.2929,292900.0,NEAR OCEAN
-118.37,33.93,46.0,442.0,88.0,255.0,94.0,4.4474,256300.0,<1H OCEAN
-118.31,33.99,48.0,2235.0,433.0,1363.0,433.0,1.6559,96500.0,<1H OCEAN
-117.94,33.65,15.0,2016.0,443.0,1015.0,419.0,5.2732,231400.0,<1H OCEAN
-118.46,34.0,44.0,941.0,230.0,493.0,206.0,3.6458,303800.0,<1H OCEAN
-122.33,37.95,46.0,1543.0,339.0,777.0,322.0,4.0927,126500.0,NEAR BAY
-117.67,34.05,6.0,2833.0,628.0,1717.0,589.0,3.2062,113600.0,INLAND
-118.05,33.94,34.0,495.0,120.0,527.0,130.0,1.9453,137500.0,<1H OCEAN
-118.27,33.89,32.0,1969.0,397.0,1349.0,370.0,4.4659,138200.0,<1H OCEAN
-117.16,33.57,2.0,20391.0,3245.0,7132.0,2716.0,3.9443,162200.0,<1H OCEAN
-118.46,34.03,27.0,1965.0,631.0,1042.0,596.0,2.75,287500.0,<1H OCEAN
-122.44,37.77,52.0,5604.0,1268.0,2023.0,1196.0,4.4085,500001.0,NEAR BAY
-122.03,37.6,24.0,2077.0,383.0,1488.0,389.0,4.5721,177600.0,NEAR BAY
-117.96,34.71,32.0,3511.0,646.0,1733.0,510.0,3.46,103500.0,INLAND
-117.83,34.01,16.0,9446.0,1650.0,4911.0,1534.0,5.0111,178200.0,<1H OCEAN
-118.62,34.2,29.0,2421.0,402.0,1120.0,388.0,5.0309,240300.0,<1H OCEAN
-121.45,38.62,37.0,1534.0,315.0,1147.0,322.0,2.5643,78000.0,INLAND
-122.48,37.71,39.0,3615.0,632.0,1571.0,615.0,5.1149,313600.0,NEAR OCEAN
-123.22,39.15,45.0,1348.0,265.0,639.0,270.0,3.3667,109400.0,<1H OCEAN
-122.11,37.39,36.0,1660.0,261.0,655.0,249.0,6.3967,433000.0,NEAR BAY
-117.71,33.47,17.0,2681.0,454.0,830.0,410.0,5.5507,271600.0,<1H OCEAN
-118.07,33.87,18.0,3405.0,556.0,1945.0,509.0,5.7652,338900.0,<1H OCEAN
-122.11,37.66,29.0,2544.0,643.0,2332.0,603.0,3.2091,191700.0,NEAR BAY
-117.93,34.04,30.0,1336.0,239.0,905.0,253.0,4.8854,164500.0,<1H OCEAN
-122.03,37.39,34.0,2600.0,650.0,1994.0,650.0,4.0223,450000.0,<1H OCEAN
-118.35,33.9,31.0,1547.0,,956.0,287.0,3.4698,269700.0,<1H OCEAN
-117.13,32.72,9.0,2436.0,720.0,1780.0,653.0,1.8299,120300.0,NEAR OCEAN
-121.66,36.82,17.0,3921.0,654.0,1895.0,641.0,5.0092,231900.0,<1H OCEAN
-118.13,34.05,35.0,3229.0,616.0,1879.0,595.0,3.9531,293300.0,<1H OCEAN
-118.28,34.05,41.0,1788.0,774.0,2931.0,702.0,1.4413,137500.0,<1H OCEAN
-118.17,34.1,25.0,4444.0,647.0,1922.0,652.0,8.058,500001.0,<1H OCEAN
-121.33,37.97,36.0,1953.0,492.0,999.0,371.0,2.0043,55700.0,INLAND
-117.23,32.74,16.0,1953.0,404.0,798.0,385.0,4.8167,238200.0,NEAR OCEAN
-121.29,38.6,29.0,1276.0,225.0,600.0,223.0,4.0938,141700.0,INLAND
-117.95,34.04,36.0,1044.0,200.0,982.0,205.0,4.7679,154200.0,<1H OCEAN
-121.83,36.61,26.0,3723.0,789.0,2563.0,747.0,3.4531,186000.0,<1H OCEAN
-119.21,34.26,26.0,2406.0,411.0,1313.0,391.0,4.9079,232700.0,NEAR OCEAN
-118.29,33.91,28.0,1501.0,446.0,1028.0,418.0,2.3043,107700.0,<1H OCEAN
-118.74,34.26,27.0,3467.0,545.0,1798.0,493.0,4.8717,196100.0,<1H OCEAN
-118.2,33.96,44.0,2144.0,477.0,1760.0,452.0,2.3221,169000.0,<1H OCEAN
-117.93,33.65,29.0,1253.0,375.0,1198.0,362.0,3.5179,272300.0,<1H OCEAN
-124.09,40.88,31.0,1982.0,495.0,1052.0,467.0,1.5326,57500.0,NEAR OCEAN
-121.39,38.56,19.0,8507.0,1470.0,3517.0,1453.0,4.3644,144400.0,INLAND
-117.33,34.13,30.0,2335.0,363.0,1214.0,311.0,2.2449,81900.0,INLAND
-118.75,34.33,27.0,534.0,85.0,243.0,77.0,8.2787,500001.0,<1H OCEAN
-118.1,33.93,36.0,1124.0,217.0,707.0,234.0,4.375,166000.0,<1H OCEAN
-118.49,34.25,33.0,2088.0,383.0,960.0,362.0,4.3333,286100.0,<1H OCEAN
-117.69,34.06,29.0,873.0,226.0,649.0,198.0,2.7986,95300.0,INLAND
-117.06,32.57,18.0,1384.0,311.0,1429.0,287.0,1.3362,96200.0,NEAR OCEAN
-118.46,34.29,24.0,3668.0,890.0,3151.0,810.0,3.0526,164800.0,<1H OCEAN
-121.74,38.55,33.0,6861.0,1820.0,3717.0,1767.0,1.7311,118800.0,INLAND
-116.89,33.73,15.0,2094.0,316.0,937.0,277.0,5.3623,231300.0,INLAND
-121.89,37.25,26.0,1741.0,323.0,1007.0,339.0,4.7069,283000.0,<1H OCEAN
